branch,congressID,ideology_score,page,part,speaker,year,sentence,sentence_raw,sentence_unclean
Senate,104,0.375,249,14,Mr. COATS.,1995,year later littl chang,"For, 2 years later,  little has changed","For, 2 years later,  little has changed"
,115,0.433,88,2018-01-30,Mr. ROSKAM.,2018,home nation spoken languag divers villag,"As a home to 80 nationalities and 30  spoken languages, it is a diverse village","As a home to 80 nationalities and 30  spoken languages, it is a diverse village"
,112,-0.519,180,2012-06-20,Mr. TOWNS.,2012,gari enjoy long distinguish career scholar research educ author administr clinic counselor span half centuri,"Gary has enjoyed a  long and distinguished career as a scholar, researcher, educator, author, administrator, and clinical counselor spanning more than half a century","Gary has enjoyed a  long and distinguished career as a scholar, researcher, educator, author, administrator, and clinical counselor spanning more than half a century"
House,94,-0.589,1049,23,Mr. YOUNG of Georgia.,1975,follow articl appear capitol hill forum attempt answer question con cern, The following article which appeared  in the Capitol Hill .Forum attempts to  answer  these and other questions con cerning Mr, The following article which appeared  in the Capitol Hill .Forum attempts to  answer  these and other questions con cerning Mr
House,101,0.043,54,3,Mr. GILMAN.,1989,nation alon illicit drug deal repres estim billion untax activ, In our Nation alone  illicit drug dealing  represents an estimated $140 billion a year  untaxed activity, In our Nation alone  illicit drug dealing  represents an estimated $140 billion a year  untaxed activity
House,100,-0.258,995,1,Mr. PANETTA.,1988,certif product facil bigey binari chemic bomb pursuant public law section ccl stat,"88-7, his certification of  production facilities for the Bigeye binary  chemical bomb, pursuant to Public Law 99591, section 1107Cc)(l) (100 Stat","88-7, his certification of  production facilities for the Bigeye binary  chemical bomb, pursuant to Public Law 99591, section 1107Cc)(l) (100 Stat"
House,110,-0.20600000000000002,18,2007-03-15,Mr. ARCURI.,2007,requir feder agenc award least billion preced fiscal develop implement plan minim use contract enter use bid procedur cost reimburs type contract, It  requires each  federal  agency that has awarded at least $1 billion in  the preceding fiscal year to develop and implement a plan to minimize the use of contracts entered  into using no-bid procedures  and cost-reimbursement  type contracts, It  requires each  federal  agency that has awarded at least $1 billion in  the preceding fiscal year to develop and implement a plan to minimize the use of contracts entered  into using no-bid procedures  and cost-reimbursement  type contracts
,97,0.17800000000000002,383,8,Mr. EVANS of Delaware.,1981,continu leader world commun men women uniform need honor not arm forc day everi day," If we are to continue as a leader in  the world community, our men and  women in uniform need to be honored  not only on Armed Forces Day but  every day of the year"," If we are to continue as a leader in  the world community, our men and  women in uniform need to be honored  not only on Armed Forces Day but  every day of the year"
Senate,101,0.272,25,7,Mr. ROTH.,1990,presid suggest absenc quorum,"President, I suggest  the absence of a quorum","President, I suggest  the absence of a quorum"
House,97,-0.564,120,14,Mr. WEISS.,1981,udal substitut republican side,UDALL and a substitute from the  Republican side,UDALL and a substitute from the  Republican side
House,95,0.3,1033,18,Mr. KEMP.,1977,time inflat continu increas everyon tax daili dividu incom push higher tax bracket," At the same time, inflation continues  to increase everyone's taxes daily, as in dividual  incomes  are pushed up  into  higher tax brackets"," At the same time, inflation continues  to increase everyone's taxes daily, as in dividual  incomes  are pushed up  into  higher tax brackets"
House,101,-0.308,953,16,Mr. PEASE.,1989,question motion offer gentl man ohio,The question is  on the motion offered by the gentle man from Ohio [Mr,The question is  on the motion offered by the gentle man from Ohio [Mr
House,101,-0.318,152,16,Mr. WYDEN.,1990,urg presid sign, I urge the President  to sign it, I urge the President  to sign it
House,97,-0.139,718,1,Mr. STRATTON.,1981,manni celler ever present wit warm friendli person knowledg rule hous acquaintanceship fellow member enabl bring histor measur enact,"And  it was  Manny Celler, with his ever-present  wit, his warm,  friendly personality,  and his knowledge of the rules of the  House and his acquaintanceship with  his fellow Members that enabled him  to bring these historic measures into  enactment","And  it was  Manny Celler, with his ever-present  wit, his warm,  friendly personality,  and his knowledge of the rules of the  House and his acquaintanceship with  his fellow Members that enabled him  to bring these historic measures into  enactment"
,98,-0.321,1016,3,Mr. SYNAR.,1983,legisl achiev goal follow suggest final report nation bankruptci commiss consum debtor seek bankruptci relief counsel option select chapter straight bankruptci chapter repay plan, Our legislation achieves this goal by  following the suggestions of the final  report of  the National Bankruptcy  Commission  that  consumer  debtors  seeking bankruptcy relief be counseled  as to their options before selecting a  chapter 7 straight bankruptcy or a  chapter  13  repayment  plan, Our legislation achieves this goal by  following the suggestions of the final  report of  the National Bankruptcy  Commission  that  consumer  debtors  seeking bankruptcy relief be counseled  as to their options before selecting a  chapter 7 straight bankruptcy or a  chapter  13  repayment  plan
,113,0.467,123,2013-10-30,Mr. CARTER.,2013,need mission countri continu,The  needs of his mission and his country continue,The  needs of his mission and his country continue
Senate,102,0.013000000000000001,535,1,Mr. SHELBY.,1992,addit studi reveal parent mi souri program continu play activ role children educ parent,"In addition, the study also  revealed that the parents in the Mis souri program have continued to play a  more  active  role  in  their children's  education than other parents","In addition, the study also  revealed that the parents in the Mis souri program have continued to play a  more  active  role  in  their children's  education than other parents"
,101,0.113,648,1,Mr. MACHTLEY.,1990,legisl congress woman pelosi sponsor cosponsor,"2712, legislation Congress woman PELOSI has sponsored-and of which  I am a cosponsor","2712, legislation Congress woman PELOSI has sponsored-and of which  I am a cosponsor"
,114,-0.6579999999999999,81,2015-01-06,Mr. CONYERS.,2015,would author mortgag repay period extend monthli mortgag payment afford,It also would authorize the mortgage’s  repayment period to be extended so that  monthly mortgage payments are more affordable,It also would authorize the mortgage’s  repayment period to be extended so that  monthly mortgage payments are more affordable
,96,-0.564,1068,6,Mr. WEISS.,1980,monument martin luther king jr southern christim eadership confer roy wilkin attortaj associ volvement two nobl advanc color peopl whitney nation urban leagu walter reuther presid auto worker,"Monument, were Martin Luther King, Jr.,  Southern Christi1m ?.eadership Conference;  Roy Wilkins, ~a.ttorta.J Association for the  volvement in two of his most noble Advancement of Colored People; Whitney  .National Urban League; Walter  Reuther, President of the Auto Workers","Monument, were Martin Luther King, Jr.,  Southern Christi1m ?.eadership Conference;  Roy Wilkins, ~a.ttorta.J Association for the  volvement in two of his most noble Advancement of Colored People; Whitney  .National Urban League; Walter  Reuther, President of the Auto Workers"
,112,-0.428,71,2011-04-15,Mr. BLUMENAUER.,2011,advanc healthcar led increasingli complex health care decis treatment option ever benefitor burdenof choos, Advances in healthcare have led to increasingly complex health care decisions and more  treatment options  than we have ever before  had the benefit—or the burden—of choosing  between, Advances in healthcare have led to increasingly complex health care decisions and more  treatment options  than we have ever before  had the benefit—or the burden—of choosing  between
,106,-0.376,248,1999-06-17,Mr. LANTOS.,1999,character meet would say not negoti diplomat negoti think togeth,"But if I were to characterize the meeting, I would say that it was not negotiations, diplomatic negotiations, but  thinking  together","But if I were to characterize the meeting, I would say that it was not negotiations, diplomatic negotiations, but  thinking  together"
,107,0.596,200,2002-07-17,Mr. CANNON.,2002,marin willingli put live line defend freedom countri enjoy,These Marines have willingly put their lives on the line to defend the freedom that this country enjoys,These Marines have willingly put their lives on the line to defend the freedom that this country enjoys
,93,0.003,614,18,Mr. CRONIN.,1974,reorgan state depart,In 1789 this was  reorganized into the State Department,In 1789 this was  reorganized into the State Department
House,95,0.34299999999999997,870,7,Mr. CUNNINGHAM.,1978,move strike last word,"Chairman, I  move to strike the last word","Chairman, I  move to strike the last word"
,109,-0.225,206,2005-03-10,Mr. CUELLAR.,2005,matter set typefac indic word insert append rather spoken member hous floor,"Matter set in this typeface indicates words inserted or appended, rather than spoken, by a Member of the House on the floor","Matter set in this typeface indicates words inserted or appended, rather than spoken, by a Member of the House on the floor"
Senate,96,-0.033,483,3,Mr. MATHIAS.,1979,dompierr two daughter one,"Dompierre have  two daughters, o:ne of whom, Mrs","Dompierre have  two daughters, o:ne of whom, Mrs"
House,101,-0.09699999999999999,141,7,Mr. LAUGHLIN.,1989,proprietor river publish er inc," If the proprietors of River Publish ers, Inc"," If the proprietors of River Publish ers, Inc"
